symbol,name,market,latestClosingDate,c,c63,c126,c189,c252,is_valid
2388.T,ウェッジホールディングス,グロース（内国株式）,1970-01-01,144.0,100.0,169.0,163.0,129.0,1.0
2389.T,デジタルホールディングス,プライム（内国株式）,1970-01-01,1081.0,1034.0,1171.0,1189.0,1279.0,1.0
2391.T,プラネット,スタンダード（内国株式）,1970-01-01,1250.0,1259.0,1234.0,1214.0,1203.0,1.0
2393.T,日本ケアサプライ,スタンダード（内国株式）,1970-01-01,1688.0,1585.0,1642.0,1490.0,1475.0,1.0
2395.T,新日本科学,プライム（内国株式）,1970-01-01,2226.0,2329.0,3085.0,2536.0,2280.0,1.0
2397.T,ＤＮＡチップ研究所,スタンダード（内国株式）,1970-01-01,731.0,690.0,775.0,537.0,561.0,1.0
2402.T,アマナ,グロース（内国株式）,1970-01-01,397.0,343.0,554.0,591.0,569.0,1.0
2404.T,鉄人化計画,スタンダード（内国株式）,1970-01-01,388.0,374.0,294.0,291.0,308.0,1.0
2408.T,ＫＧ情報,スタンダード（内国株式）,1970-01-01,425.0,390.0,364.0,361.0,379.0,1.0
2410.T,キャリアデザインセンター,プライム（内国株式）,1970-01-01,2090.0,1547.0,2161.0,1538.0,1594.0,1.0
2411.T,ゲンダイエージェンシー,スタンダード（内国株式）,1970-01-01,409.0,458.0,462.0,353.0,339.0,1.0
2412.T,ベネフィット・ワン,プライム（内国株式）,1970-01-01,1266.5,1649.5,2053.0,2110.0,2018.0,1.0
2413.T,エムスリー,プライム（内国株式）,1970-01-01,2918.5,3262.0,3275.0,4242.0,4350.0,1.0
2415.T,ヒューマンホールディングス,スタンダード（内国株式）,1970-01-01,1030.0,985.0,904.0,868.0,881.0,1.0
2418.T,ツカダ・グローバルホールディング,プライム（内国株式）,1970-01-01,497.0,472.0,427.0,395.0,341.0,1.0
2424.T,ブラス,プライム（内国株式）,1970-01-01,868.0,1227.0,1170.0,932.0,933.0,1.0
2425.T,ケアサービス,スタンダード（内国株式）,1970-01-01,707.0,750.0,796.0,611.0,652.0,1.0
2427.T,アウトソーシング,プライム（内国株式）,1970-01-01,1175.0,1296.0,1358.0,991.0,1186.0,1.0
2428.T,ウェルネット,プライム（内国株式）,1970-01-01,599.0,619.0,647.0,620.0,550.0,1.0
2429.T,ワールドホールディングス,プライム（内国株式）,1970-01-01,2440.0,2806.0,2782.0,2743.0,2635.0,1.0
2432.T,ディー・エヌ・エー,プライム（内国株式）,1970-01-01,1525.5,1870.0,1716.0,1793.0,1887.0,1.0
2433.T,博報堂ＤＹホールディングス,プライム（内国株式）,1970-01-01,1382.0,1508.5,1538.0,1316.0,1257.0,1.0
2435.T,シダー,スタンダード（内国株式）,1970-01-01,278.0,267.0,171.0,163.0,165.0,1.0
